House,Plant ID
GH_118,F2_003
GH_118,F2_004
GH_118,F2_008
GH_118,F2_010
GH_118,F2_014
GH_118,F2_016
GH_118,F2_017
GH_118,F2_018
GH_118,F2_019
GH_118,F2_020
GH_118,F2_023
GH_118,F2_024
GH_118,F2_028
GH_118,F2_032
GH_118,F2_033
GH_118,F2_034
GH_118,F2_035
GH_118,F2_037
GH_118,F2_038
GH_118,F2_040
GH_118,F2_043
GH_118,F2_045
GH_118,F2_046
GH_118,F2_048
GH_118,F2_049
GH_118,F2_051
GH_118,F2_052
GH_118,F2_056
GH_118,F2_057
GH_118,F2_058
GH_118,F2_059
GH_118,F2_060
GH_118,F2_063
GH_118,F2_064
GH_118,F2_065
GH_118,F2_066
GH_118,F2_067
GH_118,F2_068
GH_118,F2_072
GH_118,F2_073
GH_118,F2_074
GH_118,F2_076
GH_118,F2_078
GH_118,F2_083
GH_118,F2_085
GH_118,F2_086
GH_118,F2_088
GH_118,F2_091
GH_118,F2_093
GH_118,F2_094
GH_118,F2_095
GH_118,F2_096
GH_118,F2_097
GH_118,F2_099
GH_118,F2_100
GH_118,F2_101
GH_118,F2_102
GH_118,F2_103
GH_118,F2_104
GH_118,F2_105
GH_118,F2_106
GH_118,F2_108
GH_118,F2_109
GH_118,F2_110
GH_118,F2_111
GH_118,F2_113
GH_118,F2_114
GH_118,F2_115
GH_118,F2_116
GH_118,F2_118
GH_118,F2_119
GH_118,F2_120
GH_118,F2_121
GH_118,F2_122
GH_118,F2_124
GH_118,F2_125
GH_118,F2_126
GH_118,F2_127
GH_118,F2_128
GH_118,F2_131
GH_118,F2_133
GH_118,F2_134
GH_118,F2_135
GH_118,F2_137
GH_118,F2_138
GH_118,F2_139
GH_118,F2_141
GH_118,F2_142
GH_118,F2_143
GH_118,F2_144
GH_118,F2_145
GH_118,F2_146
GH_118,F2_147
GH_118,F2_148
GH_118,F2_150
GH_118,F2_151
GH_118,F2_152
GH_118,F2_153
GH_118,F2_157
GH_118,F2_158
GH_118,F2_159
GH_118,F2_161
GH_118,F2_162
GH_118,F2_163
GH_118,F2_165
GH_118,F2_166
GH_118,F2_167
,
,
,
,
