Parents,ID
588160 x 588271,E_001
588160 x 588271,E_002
588160 x 588271,E_004
588160 x 588271,E_005
588160 x 588271,E_007
588160 x 588271,E_009
588160 x 588271,E_011
588160 x 588271,E_012
588160 x 588271,E_013
588160 x 588271,E_015
588160 x 588271,E_016
588160 x 588271,E_017
588160 x 588271,E_020
588160 x 588271,E_022
588160 x 588271,E_023
588160 x 588271,E_025
588160 x 588271,E_026
588160 x 588271,E_027
588160 x 588271,E_028
588160 x 588271,E_029
588160 x 588271,E_030
588160 x 588271,E_031
588160 x 588271,E_032
588160 x 588271,E_033
588160 x 588271,E_034
588160 x 588271,E_035
588160 x 588271,E_036
588160 x 588271,E_037
588160 x 588271,E_038
588160 x 588271,E_039
588160 x 588271,E_041
588160 x 588271,E_043
588160 x 588271,E_044
588160 x 588271,E_045
588160 x 588271,E_046
588160 x 588271,E_048
588160 x 588271,E_049
588160 x 588271,E_050
588160 x 588271,E_052
588160 x 588271,E_054
588160 x 588271,E_055
588160 x 588271,E_061
588160 x 588271,E_062
588160 x 588271,E_064
588160 x 588271,E_067
588160 x 588271,E_068
588160 x 588271,E_069
588160 x 588271,E_071
588160 x 588271,E_074
588160 x 588271,E_075
588160 x 588271,E_225
588160 x 588271,E_226
588160 x 588271,E_227
588160 x 588271,E_230
588160 x 588271,E_231
588160 x 588271,E_234
588160 x 588271,E_300
588160 x 588271,E_303
588160 x 588271,E_307
588160 x 588271,E_310
588160 x 588271,E_313
588160 x 588271,E_322
588160 x 588271,E_330
588160 x 588271,E_331
588160 x 588271,E_344
588160 x 588271,E_345
588160 x 588271,E_346
588160 x 588271,E_339
588160 x 588271,E_351
588160 x 588271,E_352
588160 x 588271,E_353
588160 x 588271,E_355
588160 x 588271,E_366
588160 x 588271,E_368
588160 x 588271,E_372
588160 x 588271,E_373
588160 x 588271,E_379
588160 x 588271,E_380
588160 x 588271,E_384
588160 x 588271,E_394
588160 x 588271,E_396
588160 x 588271,E_397
588160 x 588271,E_399
588160 x 588271,E_404
588160 x 588271,E_405
588160 x 588271,E_406
588160 x 588271,E_409
588160 x 588271,E_410
588160 x 588271,E_413
